Instance   | Time(s)    | Obj Val    | Valid | Routes
------------------------------------------------------------------------------------------------------------------------
testcases\C101.txt| 31.4603    | 436.00     | OK    | [[0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 43, 42, 41, 40, 44, 46, 45, 48, 50, 49, 47, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0]]
testcases\C102.txt| 39.0739    | 432.00     | OK    | [[0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 7, 8, 10, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 43, 42, 41, 40, 44, 46, 45, 48, 50, 49, 47, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0]]
testcases\C103.txt| 35.3223    | 432.00     | OK    | [[0, 20, 21, 25, 27, 29, 30, 28, 26, 23, 22, 0], [0, 7, 8, 10, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 43, 42, 41, 40, 44, 45, 48, 46, 50, 49, 47, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 24, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0]]
testcases\C104.txt| 46.8328    | 432.00     | OK    | [[0, 43, 42, 41, 40, 44, 45, 46, 48, 50, 49, 47, 0], [0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 5, 3, 7, 8, 11, 9, 6, 4, 1, 2, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 10, 0], [0, 34, 36, 39, 38, 37, 35, 31, 32, 33, 0]]
testcases\C105.txt| 31.7693    | 436.00     | OK    | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 43, 42, 41, 40, 44, 46, 45, 48, 50, 49, 47, 0], [0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 33, 32, 31, 35, 37, 38, 39, 36, 34, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0]]
testcases\C106.txt| 31.5755    | 468.00     | OK    | [[0, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 43, 42, 41, 40, 44, 46, 45, 48, 50, 49, 47, 0], [0, 5, 3, 7, 0], [0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0]]
testcases\C107.txt| 33.4238    | 436.00     | OK    | [[0, 43, 42, 41, 40, 44, 46, 45, 48, 50, 49, 47, 0], [0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 33, 32, 31, 35, 37, 38, 39, 36, 34, 0]]
testcases\C108.txt| 32.4634    | 470.00     | OK    | [[0, 7, 10, 8, 9, 11, 6, 4, 1, 2, 0], [0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 43, 42, 41, 40, 44, 45, 46, 48, 50, 49, 47, 0], [0, 5, 3, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0], [0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0]]
testcases\C109.txt| 32.7075    | 466.00     | OK    | [[0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 22, 21, 0], [0, 5, 3, 4, 2, 1, 0], [0, 43, 42, 41, 40, 44, 45, 46, 50, 48, 49, 47, 0], [0, 7, 10, 11, 8, 9, 6, 0], [0, 33, 32, 31, 35, 37, 38, 39, 36, 34, 0], [0, 13, 17, 18, 19, 15, 16, 14, 12, 0]]
