Instance        | Status     | Time(s)  | Obj Val    | Valid  | Routes / Error
------------------------------------------------------------------------------------------------------------------------
C101.txt        | OPTIMAL    | 0.1925   | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C102.txt        | OPTIMAL    | 1.1340   | 242.00     | OK     | [[0, 7, 8, 10, 11, 9, 6, 4, 2, 1, 3, 5, 0], [0, 13...
C103.txt        | FEASIBLE   | 30.3186  | 242.00     | OK     | [[0, 7, 8, 10, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13...
C104.txt        | FEASIBLE   | 30.1591  | 238.00     | OK     | [[0, 7, 8, 11, 9, 6, 4, 1, 2, 3, 5, 0], [0, 13, 17...
C105.txt        | OPTIMAL    | 0.0794   | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C106.txt        | OPTIMAL    | 0.0804   | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C107.txt        | OPTIMAL    | 0.0966   | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C108.txt        | OPTIMAL    | 0.2113   | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 0], [0, 13...
C109.txt        | OPTIMAL    | 19.7750  | 246.00     | OK     | [[0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 2, 0], [0, 20...

Done! Total time: 82.09s
